---	2	78	1	1460892612,943362
---	0	0	2	1460892612,943601
---	0	0	2	1460892612,94361
---	2	154	1	1460892612,958579
---	0	0	2	1460892612,959012
---	0	0	2	1460892612,959019
---	40	80	0	1460892612,960731
---	2	8	1	1460892612,961683
---	0	0	2	1460892612,961719
---	0	0	2	1460892612,961726
---	2	13	1	1460892612,961875
---	0	0	2	1460892612,961921
---	0	0	2	1460892612,961926
---	50	245	0	1460892612,966174
---	0	0	1	1460892612,971663
---	0	0	1	1460892612,971676
---	50	500	0	1460892612,980365
---	2	123	1	1460892612,990688
---	0	0	2	1460892612,991063
---	0	0	2	1460892612,991071
---	2	236	1	1460892613,030806
---	0	0	2	1460892613,031521
---	0	0	2	1460892613,03153
---	50	100	0	1460892613,037716
---	0	0	1	1460892613,040033
---	0	0	1	1460892613,040043
---	60	305	0	1460892613,047403
---	2	55	1	1460892613,055501
---	0	0	2	1460892613,055752
---	0	0	2	1460892613,055762
---	2	122	1	1460892613,06737
---	0	0	2	1460892613,067946
---	0	0	2	1460892613,067963
---	60	600	0	1460892613,0808
---	5	232	1	1460892613,090452
---	0	0	2	1460892613,091628
---	0	0	2	1460892613,091636
---	5	433	1	1460892613,413003
---	0	0	2	1460892613,415673
---	0	0	2	1460892613,415684
---	60	120	0	1460892613,428857
---	5	26	1	1460892613,430665
---	0	0	2	1460892613,430831
---	0	0	2	1460892613,430839
---	5	49	1	1460892613,434837
---	0	0	2	1460892613,435214
---	0	0	2	1460892613,435224
---	70	367	0	1460892613,442965
---	3	108	1	1460892613,449783
---	0	0	2	1460892613,450196
---	0	0	2	1460892613,450203
---	3	178	1	1460892613,484953
---	0	0	2	1460892613,485745
---	0	0	2	1460892613,485753
---	70	700	0	1460892613,497661
---	3	207	1	1460892613,509417
---	0	0	2	1460892613,510126
---	0	0	2	1460892613,510134
---	3	428	1	1460892613,680809
---	0	0	2	1460892613,682341
---	0	0	2	1460892613,682354
---	70	140	0	1460892613,690214
---	3	24	1	1460892613,692382
---	0	0	2	1460892613,692476
---	0	0	2	1460892613,692484
---	3	44	1	1460892613,694502
